,ID,Type,Age,spp,sppWoodland,sppGeneralist,sppSpecialist,Source,stemDensityHA,dbhMean,dbhSD,bl500_m,aw500_m,nearestBL,nearestAW,area_m,area_ha
43,WT4945,PL,12,26,20,20,0,WrEN,4037,11.8,2.2,0.01,0,10,NA,56712.19637,5.671219637
44,WT4975,PL,12,28,23,20,3,WrEN,1439,14,3.2,0,0,NA,NA,25299.41284,2.529941284
45,WT5163,PL,12,28,22,19,3,WrEN,1432,10.8,2.8,0.08,0.03,10,331,54419.04435,5.441904435
46,WT5210,PL,10,19,15,14,1,WrEN,2988,12,3.1,0.01,0,65,NA,70348.83146,7.034883146
47,WT5226,PL,10,32,20,19,1,WrEN,1157,12.64,5.38,0.03,0,50,NA,36676.84006,3.667684006
48,WT5231,PL,11,30,21,19,2,WrEN,2546,12.2,4.3,0.02,0.02,13,24,34179.37517,3.417937517
49,WT5233,PL,10,23,16,14,2,WrEN,1092,8.2,1.3,0.01,0,154,NA,63368.46914,6.336846914
50,WT5291,PL,10,30,15,14,1,WrEN,330,8.8,2.1,0.09,0.11,123,227,45134.5181,4.51345181
51,CH-EW-0510-LANG,Mature,250,15,17,11,6,NC,1561,18.4,9.9,0.1,0.02,76,76,61765.97549,6.176597549
52,CH-EW-1020-HUC3,Mature,250,9,7,2,5,NC,2389,11.6,11.3,0.68,0.37,10,10,24447.42342,2.444742342
53,CH-EW-3040-HOME,Mature,250,14,13,6,7,NC,1752,19.9,11.2,0.13,0.11,10,10,25897.62354,2.589762354
54,CH-EWNC-1020-HUC1,Mature,250,9,8,3,5,NC,3471,11.5,6.1,0.61,0.33,10,10,7570.24102,0.757024102
55,CH-EWNC-2030-BLAC,Mature,250,11,9,3,6,NC,1465,15.3,15.7,0.23,0.11,10,10,102748.5933,10.27485933
56,CH-EWNC-2030-BULW,Mature,250,19,18,9,9,NC,1720,19.1,10.2,0.15,0.13,28,86,30591.42787,3.059142787
57,CH-EWNC-2030-FAMN,Mature,250,6,3,2,1,NC,796,32.8,19.5,0.66,0.48,10,10,53071.2821,5.30712821
58,CH-EWNC-6000-FAM2,Mature,250,5,2,1,1,NC,669,26.6,23.2,0.52,0.33,10,10,48980.8657,4.89808657
59,CH-EWPL-1020-HUC1,Mature,250,10,6,2,4,NC,1688,17,14.1,0.51,0.3,10,79,10840.29024,1.084029024
60,CH-EWPL-2030-BLAC,Mature,250,20,21,9,12,NC,955,21.9,15,0.33,0.14,10,10,20159.24747,2.015924747
61,CH-EWPL-2030-BULW,Mature,250,16,14,12,2,NC,350,38,20.3,0.26,0.21,10,10,63310.05,6.331005
62,CH-EWPL-2030-FAMN,Mature,250,11,8,4,4,NC,1592,17,11.8,0.19,0.03,10,328,10163.00256,1.016300256
63,CH-EWPL-6000-FAM2,Mature,250,10,10,4,6,NC,3057,12.8,5.9,0.17,0.12,10,228,37367.41771,3.736741771
64,CH-NC-0510-LANG,NC,8,33,34,26,8,NC,127,0,0,0.12,0.04,10,10,49921.53625,4.992153625
65,CH-NC-1020-HUC1,NC,12,7,6,5,1,NC,5637,11.8,4.4,0.56,0.33,10,10,17728.41412,1.772841412
66,CH-NC-1020-HUC3,NC,20,15,11,9,2,NC,7611,12.3,3.3,0.72,0.43,10,10,5811.312596,0.58113126
67,CH-NC-2030-BLAC,NC,25,49,60,43,17,NC,350,7.6,0.5,0.32,0.21,10,10,46440.82557,4.644082557
68,CH-NC-2030-BULW,NC,24,49,35,27,8,NC,701,7.9,2.9,0.09,0.07,10,10,287597.0459,28.75970459
69,CH-NC-2030-FAMN,NC,25,15,16,10,6,NC,5701,11.7,4.3,0.56,0.42,10,10,67078.4459,6.70784459
70,CH-NC-3040-HOME,NC,30,37,58,52,6,NC,2548,10.3,3.4,0.15,0.14,10,10,63506.04613,6.350604613
71,CH-NC-6000-FAM2,NC,120,11,15,6,9,NC,3917,12.7,6.6,0.51,0.37,10,10,16668.21187,1.666821187
72,CH-PL-0510-LANG,PL,8,39,26,26,0,NC,159,0,0,0.11,0.04,10,10,59712.47669,5.971247669
73,CH-PL-1020-HUC1,PL,12,6,4,4,0,NC,7707,13.2,5.6,0.54,0.32,10,10,9297.840056,0.929784006
74,CH-PL-1020-HUC3,PL,20,6,3,3,0,NC,12739,11.9,3.7,0.61,0.37,10,10,39261.20789,3.926120789
75,CH-PL-2030-BLAC,PL,25,11,10,5,5,NC,NA,NA,NA,0.32,0.13,10,15,17903.53259,1.790353259
76,CH-PL-2030-BULW,PL,24,19,21,16,5,NC,2229,15,5.5,0.31,0.24,10,10,15265.1196,1.52651196
77,CH-PL-2030-FAMN,PL,25,17,17,14,3,NC,4682,16.8,8.3,0.2,0.05,10,236,20284.62875,2.028462875
78,CH-PL-3040-HOME,PL,23,8,9,8,1,NC,11146,13.5,7,0.14,0.13,10,10,32670.3887,3.26703887
79,CH-PL-6000-FAM2,PL,74,11,21,13,8,NC,7962,12.9,4.5,0.17,0.11,10,202,14531.64156,1.453164156
80,EA-EWNC-0510-ARG2,Mature,250,10,9,4,5,NC,NA,NA,NA,0.01,0.01,10,435,48237.02305,4.823702305
81,EA-EWNC-1020-SUGL,Mature,250,11,13,6,7,NC,2006,15.8,10.4,0.24,0.22,10,10,81904.4962,8.19044962
82,EA-EWNC-2030-ARG1,Mature,250,17,13,9,4,NC,924,23.1,13.1,0.15,0.13,10,10,81989.33923,8.198933923
83,EA-EWNC-3040-WIL3,Mature,250,11,9,2,7,NC,1911,22.6,13,0.39,0.36,10,10,40808.11605,4.080811605
84,EA-EWNC-6000-HAYL,Mature,250,15,10,6,4,NC,987,17.3,10.2,0.02,0,10,NA,474560.5996,47.45605996
85,EA-EWNC-6000-WIL4,Mature,250,11,9,3,6,NC,1529,24.7,15.5,0.37,0.47,10,10,117948.388,11.7948388
86,EA-EWPL-1020-SUGL,Mature,250,10,9,7,2,NC,1210,20.5,14.5,0.01,0,10,NA,538465.1669,53.84651669
87,EA-EWPL-2030-ARG1,Mature,250,18,16,12,4,NC,NA,NA,NA,0.11,0.03,10,10,59607.75237,5.960775237
88,EA-EWPL-3040-WIL3,Mature,250,7,7,4,3,NC,637,41.6,29.7,0.19,0,10,NA,20886.25655,2.088625655
89,EA-EWPL-6000-HAYL,Mature,250,10,7,4,3,NC,2771,14.2,6.9,0.33,0.29,10,10,284302.7334,28.43027334
90,EA-EWPL-6000-WIL4,Mature,250,12,12,7,5,NC,1338,23.8,12.9,0.18,0.04,10,10,97108.93905,9.710893905
91,EA-NC-0510-ARG2,NC,17,49,37,36,1,NC,191,0,0,0.1,0.08,10,10,109356.522,10.9356522
92,EA-NC-1020-SUGL,NC,18,25,28,26,2,NC,1338,9.5,4.4,0.23,0.2,10,10,99998.23168,9.999823168
93,EA-NC-2030-ARG1,NC,18,34,40,37,3,NC,1242,13.6,7.1,0.17,0.17,10,10,172975.5753,17.29755753
94,EA-NC-3040-WIL3,NC,37,28,36,25,11,NC,7006,11.1,4.2,0.35,0.37,10,16,16173.25411,1.617325411
95,EA-NC-6000-HAYL,NC,100,17,21,8,13,NC,4873,19.7,13.4,0.28,0.26,10,10,26058.01726,2.605801726
96,EA-NC-6000-WIL4,NC,63,20,30,17,13,NC,3662,23.7,10.7,0.47,0.67,10,10,39129.16469,3.912916469
97,EA-PL-1020-SUGL,PL,18,37,32,29,3,NC,318,5.9,6.6,0.32,0.3,10,10,72853.13192,7.285313192
98,EA-PL-2030-ARG1,PL,19,30,26,20,6,NC,2771,13.4,5.3,0.17,0.06,10,23,43281.80671,4.328180671
99,EA-PL-3040-WIL3,PL,33,10,15,13,2,NC,5223,17.3,5.6,0.18,0,10,NA,28609.73173,2.860973173
100,EA-PL-6000-HAYL,PL,69,15,23,13,10,NC,4841,17.3,9.6,0.39,0.39,10,10,84213.61945,8.421361945
101,EA-PL-6000-WIL4,PL,59,11,20,9,11,NC,2866,25.7,13.3,0.26,0.14,10,10,61909.00391,6.190900391
102,SE-EW-1020-COMF,Mature,250,15,13,8,5,NC,1433,22.4,16.2,0.21,0.03,10,10,15225.38877,1.522538877
103,SE-EW-1020-VICT,Mature,250,3,0,0,0,NC,NA,NA,NA,0.23,0.23,10,10,72758.57198,7.275857198
104,SE-EWNC-2030-OLDP,Mature,250,4,1,1,0,NC,3535,16.5,6.2,0.35,0.42,10,10,52018.30803,5.201830803
105,SE-EWNC-6000-BOWD,Mature,250,14,14,8,6,NC,764,20.5,14.8,0.55,0.31,10,10,94610.67461,9.461067461
106,SE-EWPL-2030-OLDP,Mature,250,15,13,7,6,NC,828,18.7,11.3,0.15,0.02,10,10,20995.55848,2.099555848
107,SE-EWPL-5060-BOWD,Mature,250,13,13,12,1,NC,1815,15.6,7.8,0.38,0.15,10,10,44242.87452,4.424287452
108,SE-NC-1020-COMF,NC,18,22,16,16,0,NC,64,0,0,0.22,0.03,10,10,5388.266846,0.538826685
109,SE-NC-1020-VICT,NC,18,18,13,12,1,NC,NA,NA,NA,0.11,0.11,10,10,39620.64232,3.962064232
110,SE-NC-2030-OLDP,NC,33,13,19,15,4,NC,1529,11.2,5.1,0.26,0.28,10,10,14236.50093,1.423650093
111,SE-NC-6000-BOWD,NC,64,15,23,19,4,NC,2420,19.5,8.3,0.59,0.38,10,10,56210.91857,5.621091857
112,SE-PL-1020-COMF,PL,17,25,31,30,1,NC,1561,8.4,1.1,0.24,0.06,10,10,37052.27006,3.705227006
113,SE-PL-1020-VICT,PL,18,19,21,20,1,NC,NA,NA,NA,0.14,0.13,10,10,15653.79926,1.565379926
114,SE-PL-2030-OLDP,PL,35,20,27,20,7,NC,7293,15.4,5.1,0.09,0.03,10,10,84939.5069,8.49395069
115,SE-PL-5060-BOWD,PL,64,18,21,13,8,NC,2707,21.2,8.2,0.42,0.17,10,10,18475.01765,1.847501765
116,WE-EWNC-1020-PIDD,Mature,250,11,10,8,2,NC,NA,NA,NA,0.1,0.05,10,10,127401.2979,12.74012979
117,WE-EWNC-1020-SWAN,Mature,250,5,2,1,1,NC,605,23.5,17.9,0.41,0.06,10,227,39632.16683,3.963216683
118,WE-EWNC-2030-CHUR,Mature,250,8,6,2,4,NC,2134,16.4,8,0.22,0,10,NA,35316.73841,3.531673841
119,WE-EWNC-3040-WYTH,Mature,250,12,10,7,3,NC,573,29.4,34.6,0.38,0.37,10,10,34485.42191,3.448542191
120,WE-EWPL-1020-SWAN,Mature,250,3,1,1,0,NC,478,26.2,18.2,0.45,0.09,10,123,18879.02628,1.887902628
121,WE-EWPL-2030-CHUR,Mature,250,9,5,1,4,NC,1178,20.5,15.8,0.33,0,10,NA,25914.84108,2.591484108
122,WE-EWPL-3040-WYTH,Mature,250,8,7,5,2,NC,669,26.3,32.5,0.52,0.44,10,10,24744.78343,2.474478343
123,WE-NC-1020-PIDD,NC,24,23,18,18,0,NC,NA,NA,NA,0.18,0.08,10,10,28315.76135,2.831576135
124,WE-NC-1020-SWAN,NC,20,8,5,5,0,NC,7707,11.6,3.6,0.43,0.05,10,246,19347.75545,1.934775545
125,WE-NC-2030-CHUR,NC,25,23,28,26,2,NC,7070,10.5,4.3,0.17,0,10,NA,15392.01118,1.539201118
126,WE-NC-3040-WYTH,NC,60,15,11,8,3,NC,2834,12.4,4.3,0.41,0.4,10,10,6298.29835,0.629829835
127,WE-PL-1020-SWAN,PL,20,8,6,5,1,NC,6656,11.1,3.1,0.4,0.08,10,160,11007.12573,1.100712573
128,WE-PL-2030-CHUR,PL,25,19,19,17,2,NC,5032,12.9,4.3,0.4,0,10,NA,8164.988879,0.816498888
129,WE-PL-3040-WYTH,PL,60,3,4,0,4,NC,2229,29.7,14.4,0.6,0.51,10,10,19121.40975,1.912140975
130,BF_P1,PL,25,25,33,29,4,FTC,24000,10.3,2.6,0.21,0.02,10,10,39933.81142,3.993381142
131,CS_P1,PL,25,26,36,27,9,FTC,21000,15.3,6.4,0.1,0.08,10,10,77549.89255,7.754989255
132,DP_P1,PL,25,28,27,17,10,FTC,12833,10.5,2.7,0.15,0.16,10,11,15323.36789,1.532336789
133,DW_P1,PL,25,22,22,15,7,FTC,38667,12,3.4,0.13,0.13,10,10,35276.64658,3.527664658
134,FF_P1,PL,25,20,20,7,13,FTC,10833,10.9,4,0.08,0.13,10,10,7757.723266,0.775772327
135,FL_P1,PL,25,30,45,31,14,FTC,34500,12.4,4.4,0.32,0.27,10,10,23963.7875,2.39637875
136,HF_P1,PL,25,20,16,10,6,FTC,29667,12.5,4.8,0.49,0.52,10,10,85048.88855,8.504888855
137,LB_P1,PL,25,19,26,23,3,FTC,21500,10.6,2.3,0.16,0.13,10,10,15717.88411,1.571788411
138,MG_P1,PL,25,34,22,19,3,FTC,7000,9.6,4.9,0.13,0.25,10,10,163702.157,16.3702157
139,SH_P1,PL,25,26,34,22,12,FTC,39500,11.6,3.3,0.3,0.15,10,10,46114.32509,4.611432509
140,BF_M1,Mature,250,21,31,23,8,FTC,11833,16.8,6.1,0.22,0.02,66,209,11036.88184,1.103688184
141,CS_M1,Mature,250,17,23,7,16,FTC,7000,23.2,21.4,0.12,0.07,10,135,70144.28319,7.014428319
142,CS_M2,Mature,250,35,58,26,32,FTC,10833,23.9,16.5,0.12,0.06,10,10,11520.3292,1.15203292
143,CS_M4,Mature,250,18,16,8,8,FTC,8500,24.7,18.8,0.17,0.1,69,91,12389.45308,1.238945308
144,DP_M1,Mature,250,11,8,5,3,FTC,6333,17.5,14,0.09,0.09,145,10,28340.89212,2.834089212
145,DP_M2,Mature,250,21,23,11,12,FTC,9000,13.2,12.7,0.18,0.17,10,10,44212.99321,4.421299321
146,DP_M3,Mature,250,10,8,4,4,FTC,3500,23.8,15.2,0.12,0.09,10,97,134944.1084,13.49441084
147,DP_M4,Mature,250,27,27,8,19,FTC,6667,23.2,17.7,0.2,0.13,13,13,20263.2584,2.02632584
148,DW_M1,Mature,250,14,19,4,15,FTC,7500,24.3,14.6,0.11,0.1,10,10,20805.6495,2.08056495
149,DW_M2,Mature,250,28,29,12,17,FTC,6000,20.7,11.6,0.09,0.1,10,10,43289.32416,4.328932416
150,DW_M3,Mature,250,8,4,1,3,FTC,9167,11.1,2.2,0.22,0.19,10,82,89228.05497,8.922805497
151,DW_M4,Mature,250,7,8,3,5,FTC,12333,14.4,9.3,0.13,0.11,67,10,53796.98013,5.379698013
152,FF_M1,Mature,250,11,8,1,7,FTC,7333,22.2,11.9,0.01,0.03,111,265,60262.03492,6.026203492
153,FF_M2,Mature,250,27,28,17,11,FTC,8167,16.5,9.4,0.11,0.17,80,12,9185.46259,0.918546259
154,FL_M1,Mature,250,21,16,4,12,FTC,12000,17.3,11.7,0.11,0.1,10,10,132938.7546,13.29387546
155,FL_M2,Mature,250,20,26,16,10,FTC,3333,15.2,14.8,0.31,0.26,105,105,9584.44218,0.958444218
156,FL_M4,Mature,250,22,23,13,10,FTC,13667,16.4,13.4,0.19,0.16,84,10,18789.89453,1.878989453
157,HF_M1,Mature,250,7,6,1,5,FTC,20500,13.4,8.5,0.39,0.43,10,10,169068.4373,16.90684373
158,HF_M2,Mature,250,43,56,41,15,FTC,1833,38.1,34.5,0.37,0.31,10,10,175691.0711,17.56910711
159,HF_M3,Mature,250,9,12,6,6,FTC,4833,19.3,15,0.36,0.39,10,10,6775.816257,0.677581626
160,HF_M4,Mature,250,4,2,1,1,FTC,5167,31.2,30.2,0.21,0.21,10,31,19252.20074,1.925220074
161,LB_M1,Mature,250,17,20,8,12,FTC,6000,20.2,17.7,0.13,0.05,10,10,37221.09436,3.722109436
162,LB_M2,Mature,250,12,17,15,2,FTC,16000,10,2.5,0.16,0.15,10,10,55284.00393,5.528400393
163,LB_M3,Mature,250,18,8,4,4,FTC,12833,15.7,8.1,0.19,0.09,10,10,257893.0246,25.78930246
164,LB_M4,Mature,250,12,18,14,4,FTC,7167,17.6,8.4,0.25,0.24,107,134,7141.886681,0.714188668
165,MG_M1,Mature,250,13,31,23,8,FTC,4500,15.7,14.2,0.1,0.19,148,10,56420.22679,5.642022679
166,MG_M2,Mature,250,19,22,12,10,FTC,3833,24.7,24.8,0.11,0.24,10,10,163562.5535,16.35625535
167,MG_M3,Mature,250,14,10,8,2,FTC,8167,12.7,3.7,0.11,0.05,10,247,13646.20184,1.364620184
168,MG_M4,Mature,250,20,27,17,10,FTC,6000,19.3,19.9,0.07,0.04,55,169,29341.72238,2.934172238
169,SH_M1,Mature,250,19,23,12,11,FTC,12167,15,8.8,0.26,0.13,10,102,49026.17811,4.902617811
170,SH_M2,Mature,250,17,19,7,12,FTC,7000,21.9,16.4,0.2,0.06,10,10,126136.4891,12.61364891
