Source,Site,Type,ID,plotID,Species,dbh,Age
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Oak,57.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150A,Oak,32,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,32.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,53.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,31.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,44.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,31.7,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,15,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,33.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,38.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70B,Oak,24.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,35.5,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,52,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,23,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,26.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,30,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,26.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,33.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,50.2,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30A,Oak,31.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Oak,34.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Oak,52.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL0-30B,Oak,33,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Oak,36.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Oak,35.3,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Oak,37,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Oak,24.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Oak,32.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Oak,24.9,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Oak,25.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL30-70A,Oak,42.1,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Willow,25.4,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Willow,23,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Willow,16.8,100
NC,Hayley wood,NC,EA-NC-6000-HAYL,EA-NC-6000-HAYL70-150B,Willow,18.3,100
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Ash,51.1,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,33.4,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,30.8,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,26.4,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,23.8,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,24.4,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,28.5,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,22.9,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,35.8,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30A,Ash,31,69
NC,Fames Rough 2,PL,CH-PL-6000-FAM2,CH-PL-6000-FAM270-150B,Hawthorn,11.6,74
