"","ID","Type","Age","spp","sppWoodland","sppGeneralist","sppSpecialist","Source","stemDensityHA","dbhSD"
"92","EA-EWPL-6000-WIL4","Mature","Mature",12,12,7,5,"NC",1338,12.9
"93","EA-NC-0510-ARG2","NC","17",49,37,36,1,"NC",191,0
"94","EA-NC-1020-SUGL","NC","18",25,28,26,2,"NC",1338,4.4
"95","EA-NC-2030-ARG1","NC","18",34,40,37,3,"NC",1242,7.1
"96","EA-NC-3040-WIL3","NC","37",28,36,25,11,"NC",7006,4.2
"97","EA-NC-6000-HAYL","NC","100",17,21,8,13,"NC",4873,13.4
"98","EA-NC-6000-WIL4","NC","63",20,30,17,13,"NC",3662,10.7
"99","EA-PL-1020-SUGL","PL","18",37,32,29,3,"NC",318,6.6
"100","EA-PL-2030-ARG1","PL","19",30,26,20,6,"NC",2771,5.3
"101","EA-PL-3040-WIL3","PL","33",10,15,13,2,"NC",5223,5.6
"102","EA-PL-6000-HAYL","PL","69",15,23,13,10,"NC",4841,9.6
"103","EA-PL-6000-WIL4","PL","59",11,20,9,11,"NC",2866,13.3
"104","SE-EW-1020-COMF","Mature","Mature",15,13,8,5,"NC",1433,16.2
"105","SE-EW-1020-VICT","Mature","Mature",3,0,0,0,"NC",NA,NA
"106","SE-EWNC-2030-OLDP","Mature","Mature",4,1,1,0,"NC",3535,6.2
"107","SE-EWNC-6000-BOWD","Mature","Mature",14,14,8,6,"NC",764,14.8
"108","SE-EWPL-2030-OLDP","Mature","Mature",15,13,7,6,"NC",828,11.3
"109","SE-EWPL-5060-BOWD","Mature","Mature",13,13,12,1,"NC",1815,7.8
"110","SE-NC-1020-COMF","NC","18",22,16,16,0,"NC",64,0
"111","SE-NC-1020-VICT","NC","18",18,13,12,1,"NC",NA,NA
"112","SE-NC-2030-OLDP","NC","33",13,19,15,4,"NC",1529,5.1
"113","SE-NC-6000-BOWD","NC","64",15,23,19,4,"NC",2420,8.3
"114","SE-PL-1020-COMF","PL","17",25,31,30,1,"NC",1561,1.1
"115","SE-PL-1020-VICT","PL","18",19,21,20,1,"NC",NA,NA
"116","SE-PL-2030-OLDP","PL","35",20,27,20,7,"NC",7293,5.1
"117","SE-PL-5060-BOWD","PL","64",18,21,13,8,"NC",2707,8.2
"118","WE-EWNC-1020-PIDD","Mature","Mature",11,10,8,2,"NC",NA,NA
"119","WE-EWNC-1020-SWAN","Mature","Mature",5,2,1,1,"NC",605,17.9
"120","WE-EWNC-2030-CHUR","Mature","Mature",8,6,2,4,"NC",2134,8
"121","WE-EWNC-3040-WYTH","Mature","Mature",12,10,7,3,"NC",573,34.6
