ID,siteEffCan,mean10mEffCan,sd10mEffCan,mean30mEffCan,sd30mEffCan,site_area,gap_prop,patch_den,np,pd,ta,area_mn,area_sd,para_mn,para_sd,ai,cohesion,glcmCorrelation_mean,glcmCorrelation_sd,glcmContrast_mean,glcmContrast_sd,glcmEntropy_mean,glcmEntropy_sd,siteEffStories,mean10mEffStories,sd10mEffStories,mean30mEffStories,sd30mEffStories
CS_M2,3.61,1.33,0.74,1.58,0.89,1.1520329196748498,0.05650880186511845,13.88849200986014,16,24577.572964669736,0.0651,0.00406875,0.007108935105438321,2.280551870004995,1.3813342143837548,84.41050223117117,93.70634524285231,0.44,0.26,5.03,5.43,2.74,0.5,3.92,3.21,0.81,3.58,0.57
CS_M4,2.82,1.23,0.68,1.47,0.9,1.2389453077662853,0.12034429531745419,8.87851943991949,11,7377.598926894701,0.1491,0.013554545454545455,0.019990816073205398,1.8233901706761775,1.386330979429111,87.63774104683195,96.51155685384705,0.38,0.27,5.9,4.87,2.82,0.42,3.92,3.21,0.81,3.58,0.57
CS_P1,4.46,1.52,0.82,1.82,1.02,7.754989254714921,0.08702784463430051,7.86590387122882,61,9038.376055711957,0.67490000000000006,0.011063934426229508,0.037915098280178944,1.4314623929757062,0.7348249546775979,93.64244412577735,96.16542052833255,0.4,0.27,1.52,1.68,2.14,0.69,3.92,3.21,0.81,3.58,0.57
DP_M1,4.31,1.59,0.88,1.96,1.08,2.8340892117388545,0.032144365682866285,11.996799486470403,34,37321.62458836443,0.0911,0.0026794117647058824,0.006515658501187722,1.929665349548051,1.0168056000385919,87.54849770896301,89.67916878856921,0.41,0.28,7.86,6.88,2.91,0.42,3.92,3.21,0.81,3.58,0.57
DP_M2,3.65,1.49,0.84,1.75,0.96,4.421299320608005,0.04657002050059917,7.916224951534585,35,16998.54298203011,0.2059,0.005882857142857143,0.012867091762327962,1.6459458815380623,1.0365704591869718,88.59986911813327,94.14091566945996,0.4,0.27,6.94,5.84,2.88,0.44,3.92,3.21,0.81,3.58,0.57
DP_M3,3.58,1.67,1.03,1.92,1.08,13.494410840208456,0.06175890224986851,10.967503639285503,148,17758.579313654907,0.8334,0.0056310810810810815,0.011469390504782906,1.2597060029337401,0.6479291244418766,90.71044494229358,92.38729859685057,0.42,0.28,8.67,8.7,2.8,0.57,3.92,3.21,0.81,3.58,0.57
DP_M4,3.62,1.51,0.86,1.96,1.08,2.026325839816034,0.020480417899506085,6.909056640797233,14,33734.93975903614,0.0415,0.0029642857142857144,0.0030368524046243224,1.6527149505708123,0.7173282772808668,76.87985533501588,89.22730489814366,0.37,0.28,8.24,8.69,2.86,0.46,3.92,3.21,0.81,3.58,0.57
DP_P1,3.54,1.38,0.75,1.66,0.97,1.5323367890149355,0.903326220399521,3.26299024851727,5,361.2194769541973,1.3842,0.27684000000000003,0.6179150249022919,1.8530227174070322,1.0530638422104182,99.19866105450107,99.95640902383161,0.19,0.28,0.16,0.21,0.54,0.63,3.92,3.21,0.81,3.58,0.57
DW_M1,3.39,1.25,0.63,1.46,0.76,2.0805649495389313,0.0010093412370834063,1.9225547373017264,4,190476.19047619047,0.0021,5.25e-4,6.551081335677849e-4,2.9166666666666665,1.1344765475923408,68.75,80.21331785250464,0.37,0.27,3.11,3.43,2.49,0.52,3.92,3.21,0.81,3.58,0.57
DW_M2,3.26,1.31,0.61,1.55,0.82,4.328932415936888,0.0033495556425456098,1.6170268619185701,7,48275.862068965514,0.0145,0.0020714285714285717,0.0020467163015541797,1.922933042933043,1.0600696391935847,81.58559515760327,89.97158460754815,0.35,0.27,3.52,3.4,2.58,0.49,3.92,3.21,0.81,3.58,0.57
