"","ID","siteFHD_gaps","siteFHD_gapless","mean10mFHD_gaps","sd10mFHD_gaps","mean30mFHD_gaps","sd30mFHD_gaps","mean10mFHD_gapless","sd10mFHD_gapless","mean30mFHD_gapless","sd30mFHD_gapless"
"112","EA-EWNC-3040-WIL3",3.96,3.96,3.57,0.64,3.66,0.61,3.57,0.64,3.66,0.61
"113","EA-EWNC-6000-HAYL",3.76,3.76,3.36,0.62,3.54,0.49,3.36,0.62,3.54,0.49
"114","EA-EWNC-6000-WIL4",3.94,3.94,3.53,0.65,3.68,0.54,3.53,0.65,3.68,0.54
"115","EA-EWPL-1020-HIGH",3.6,3.6,3.06,0.51,3.26,0.33,3.06,0.51,3.26,0.33
"116","EA-EWPL-1020-SUGL",3.96,3.96,3.49,0.51,3.65,0.39,3.49,0.51,3.65,0.39
"117","EA-EWPL-2030-ARG1",3.55,3.55,2.87,0.75,3.14,0.65,2.87,0.75,3.14,0.65
"118","EA-EWPL-3040-WIL3",4.01,4.01,3.27,0.82,3.57,0.73,3.27,0.82,3.57,0.73
"119","EA-EWPL-6000-HAYL",3.54,3.54,3.29,0.53,3.4,0.49,3.29,0.53,3.4,0.49
"120","EA-EWPL-6000-WIL4",3.72,3.72,3.18,0.63,3.43,0.58,3.18,0.63,3.43,0.58
"121","EA-NC-0510-ARG2",1.48,1.48,1.19,0.65,1.34,0.81,1.19,0.65,1.34,0.81
"122","EA-NC-1020-HIGH",3.83,3.83,1.94,0.98,2.43,1.19,1.94,0.98,2.43,1.19
"123","EA-NC-1020-LOSH",2.6,2.6,2.13,0.69,2.48,0.75,2.13,0.69,2.48,0.75
"124","EA-NC-1020-SUGL",2.09,2.09,1.44,0.75,1.72,0.92,1.44,0.75,1.72,0.92
"125","EA-NC-2030-ARG1",2.42,2.42,1.71,0.76,1.99,0.9,1.71,0.76,1.99,0.9
"126","EA-NC-2030-WIL2",2.95,2.95,2.57,0.63,2.78,0.66,2.57,0.63,2.78,0.66
"127","EA-NC-3040-WIL3",3.6,3.6,3.15,0.44,3.33,0.44,3.15,0.44,3.33,0.44
"128","EA-NC-6000-HAYL",3.59,3.59,3.13,0.75,3.25,0.63,3.13,0.75,3.25,0.63
"129","EA-NC-6000-WIL4",3.63,3.63,3.25,0.55,3.47,0.49,3.25,0.55,3.47,0.49
"130","EA-PL-1020-HIGH",3.63,3.63,3.24,0.76,3.4,0.74,3.24,0.76,3.4,0.74
"131","EA-PL-1020-LOSH",2.92,2.92,2.67,0.57,2.99,0.5,2.67,0.57,2.99,0.5
"132","EA-PL-1020-SUGL",1.39,1.39,1.33,0.58,1.55,0.66,1.33,0.58,1.55,0.66
"133","EA-PL-2030-ARG1",2.26,2.26,1.96,0.63,2.12,0.58,1.96,0.63,2.12,0.58
"134","EA-PL-3040-WIL3",3.1,3.1,2.78,0.54,2.88,0.54,2.78,0.54,2.88,0.54
"135","EA-PL-6000-HAYL",3.32,3.32,3.05,0.5,3.21,0.46,3.05,0.5,3.21,0.46
"136","EA-PL-6000-WIL4",3.29,3.29,2.78,0.63,3.04,0.6,2.78,0.63,3.04,0.6
"137","FF_M1",3.97,3.97,3.39,0.87,3.66,0.76,3.39,0.87,3.66,0.76
"138","FF_M2",4.35,4.35,3.54,0.93,3.95,0.6,3.54,0.93,3.95,0.6
"139","FF_P1",3.67,3.67,2.87,0.8,3,0.82,2.87,0.8,3,0.82
