"","level","site_id","area","perim","para"
"232","patch","1107675",0.0038,32,0.842105263157895
"233","patch","1107675",0.1637,436,0.26634086744044
"234","patch","1107675",0.0054,38,0.703703703703704
"235","patch","1107675",0.0037,34,0.918918918918919
"236","patch","1107675",0.0014,16,1.14285714285714
"237","patch","1107677",0.0191,116,0.607329842931937
"238","patch","1107677",0.0045,38,0.844444444444444
"239","patch","1107677",0.0062,52,0.838709677419355
"240","patch","1107677",0.0044,36,0.818181818181818
"241","patch","1107677",0.0088,60,0.681818181818182
"242","patch","1107677",0.0019,30,1.57894736842105
"243","patch","1107677",0.0078,58,0.743589743589744
"244","patch","1107677",8e-04,14,1.75
"245","patch","1107677",4e-04,10,2.5
"246","patch","1107677",0.0068,62,0.911764705882353
"247","patch","1107677",0.0278,168,0.60431654676259
"248","patch","1107677",0.0028,24,0.857142857142857
"249","patch","1107677",0.0012,20,1.66666666666667
"250","patch","1107677",0.0028,28,1
"251","patch","1107677",0.001,16,1.6
"252","patch","1107677",7e-04,12,1.71428571428571
"253","patch","1107677",8e-04,12,1.5
"254","patch","1107677",0.0068,46,0.676470588235294
"255","patch","1107677",0.0157,92,0.585987261146497
"256","patch","1107677",0.0179,84,0.46927374301676
"257","patch","1107677",0.0162,116,0.716049382716049
"258","patch","1107677",7e-04,12,1.71428571428571
"259","patch","1107677",0.001,16,1.6
"260","patch","1108137",0.0021,22,1.04761904761905
"261","patch","1108137",0.1731,444,0.256499133448873
"262","patch","1108137",0.0026,26,1
"263","patch","1108137",7e-04,12,1.71428571428571
"264","patch","1108137",6e-04,12,2
"265","patch","1108137",0.0022,28,1.27272727272727
"266","patch","1108137",0.0028,30,1.07142857142857
"267","patch","1108137",0.075,166,0.221333333333333
"268","patch","1108137",0.0054,36,0.666666666666667
"269","patch","1108137",0.0031,34,1.09677419354839
"270","patch","1108137",0.0334,152,0.455089820359281
"271","patch","1108137",0.0025,28,1.12
"272","patch","1108137",7e-04,12,1.71428571428571
"273","patch","1108137",0.0014,18,1.28571428571429
"274","patch","1108137",0.0053,38,0.716981132075472
"275","patch","1108137",0.0097,54,0.556701030927835
"276","patch","1108137",8e-04,14,1.75
"277","patch","1108137",0.004,30,0.75
"278","patch","1108137",0.0039,30,0.769230769230769
"279","patch","1108137",8e-04,12,1.5
"280","patch","1108137",0.0028,26,0.928571428571429
"281","patch","1108137",0.0036,28,0.777777777777778
"282","patch","1108137",0.0017,18,1.05882352941176
"283","patch","1108137",0.0058,42,0.724137931034483
"284","patch","1108137",0.0012,16,1.33333333333333
"285","patch","1108137",0.0184,78,0.423913043478261
"286","patch","1108137",0.0016,20,1.25
"287","patch","1108137",0.0023,24,1.04347826086957
"288","patch","1108137",6e-04,10,1.66666666666667
"289","patch","1108137",0.0101,58,0.574257425742574
"290","patch","1108137",0.0025,24,0.96
"291","patch","1108137",7e-04,12,1.71428571428571
"292","patch","1108137",5e-04,12,2.4
"293","patch","1108137",0.0036,32,0.888888888888889
"294","patch","1108137",0.0084,74,0.880952380952381
"295","patch","1108137",0.0037,32,0.864864864864865
"296","patch","1108137",0.0262,100,0.381679389312977
"297","patch","1108137",0.2214,866,0.391147244805781
"298","patch","1108137",0.0015,20,1.33333333333333
"299","patch","1108137",0.0142,74,0.52112676056338
"300","patch","1108137",0.0031,34,1.09677419354839
"301","patch","1108137",0.0015,18,1.2
"302","patch","1108137",0.0054,44,0.814814814814815
"303","patch","1108137",8e-04,14,1.75
"304","patch","1108137",0.0054,44,0.814814814814815
"305","patch","1108137",0.0029,32,1.10344827586207
"306","patch","1108137",0.048,204,0.425
"307","patch","1108137",7e-04,12,1.71428571428571
"308","patch","1108137",0.001,16,1.6
"309","patch","1108137",0.0115,66,0.573913043478261
"310","patch","1108137",6e-04,12,2
"311","patch","1108137",0.0248,158,0.637096774193548
"312","patch","1108137",0.0015,18,1.2
"313","patch","1108137",0.179,286,0.159776536312849
"314","patch","1108137",0.001,16,1.6
"315","patch","1108137",0.0126,82,0.650793650793651
"316","patch","1108137",0.0016,20,1.25
"317","patch","1108227",7e-04,12,1.71428571428571
"318","patch","1108227",0.0011,20,1.81818181818182
"319","patch","1108227",0.0016,30,1.875
"320","patch","1108227",0.006,44,0.733333333333333
"321","patch","1108227",0.0024,24,1
"322","patch","1108227",0.0041,34,0.829268292682927
"323","patch","1108227",9e-04,14,1.55555555555556
"324","patch","1108227",7e-04,12,1.71428571428571
"325","patch","1108227",0.0015,20,1.33333333333333
"326","patch","1108227",0.0046,50,1.08695652173913
"327","patch","1108227",0.0052,34,0.653846153846154
"328","patch","1108368",0.0091,78,0.857142857142857
"329","patch","1108368",0.0112,76,0.678571428571429
"330","patch","1108368",0.0022,30,1.36363636363636
"331","patch","1108368",0.0627,248,0.395534290271132
"332","patch","1108368",7e-04,14,2
"333","patch","1108368",0.0363,182,0.50137741046832
"334","patch","1108368",0.0096,50,0.520833333333333
"335","patch","1108368",0.0014,20,1.42857142857143
"336","patch","1108368",0.001,16,1.6
"337","patch","1108368",2e-04,6,3
"338","patch","1108368",8e-04,18,2.25
"339","patch","1108368",0.0016,20,1.25
"340","patch","1108368",0.0013,20,1.53846153846154
"341","patch","1108368",0.0028,24,0.857142857142857
"342","patch","1108368",6e-04,12,2
"343","patch","1108368",5e-04,12,2.4
"344","patch","1108368",0.0015,24,1.6
"345","patch","1108368",0.0053,44,0.830188679245283
"346","patch","1108368",5e-04,10,2
"347","patch","1108368",0.0222,132,0.594594594594595
"348","patch","1108368",0.0011,16,1.45454545454545
"349","patch","1108368",0.003,30,1
"350","patch","1108368",0.0011,18,1.63636363636364
"351","patch","1108368",0.0023,30,1.30434782608696
"352","patch","1108368",0.0071,64,0.901408450704225
"353","patch","1108368",0.0039,34,0.871794871794872
"354","patch","1108368",9e-04,14,1.55555555555556
"355","patch","1108368",0.0272,130,0.477941176470588
"356","patch","1108368",0.0016,26,1.625
"357","patch","1108368",0.0535,170,0.317757009345794
"358","patch","1108368",0.0012,18,1.5
"359","patch","1108368",0.0011,16,1.45454545454545
"360","patch","1108368",0.0035,38,1.08571428571429
"361","patch","1108368",0.001,16,1.6
"362","patch","1108368",0.0094,66,0.702127659574468
"363","patch","1108368",6e-04,12,2
"364","patch","1108368",0.0264,138,0.522727272727273
"365","patch","1108368",6e-04,10,1.66666666666667
"366","patch","1108368",0.001,14,1.4
"367","patch","1108368",0.0012,16,1.33333333333333
"368","patch","1108368",0.0024,22,0.916666666666667
"369","patch","1108368",0.0035,32,0.914285714285714
"370","patch","1108368",0.0252,120,0.476190476190476
"371","patch","1108368",0.0012,16,1.33333333333333
"372","patch","1108368",0.0086,66,0.767441860465116
"373","patch","1108368",5e-04,12,2.4
"374","patch","1108368",0.0018,20,1.11111111111111
"375","patch","1108368",0.0024,28,1.16666666666667
"376","patch","1115432",0.0019,42,2.21052631578947
"377","patch","1115432",1e-04,4,4
"378","patch","1115432",0.0067,58,0.865671641791045
"379","patch","1115432",0.0353,126,0.356940509915014
"380","patch","1115432",3e-04,10,3.33333333333333
"381","patch","1115432",1e-04,4,4
"382","patch","1115432",0.0064,52,0.8125
"383","patch","1115432",0.0047,36,0.765957446808511
"384","patch","1115432",0.006,46,0.766666666666667
"385","patch","1115432",0.0028,30,1.07142857142857
"386","patch","1115432",0.0024,28,1.16666666666667
"387","patch","1115432",0.0073,62,0.849315068493151
"388","patch","1115432",0.0012,16,1.33333333333333
"389","patch","1115432",0.004,42,1.05
"390","patch","1115432",0.0011,16,1.45454545454545
"391","patch","1115432",0.004,42,1.05
"392","patch","1115432",0.001,16,1.6
"393","patch","1115432",7e-04,12,1.71428571428571
"394","patch","1115432",6e-04,12,2
"395","patch","1115432",0.0062,52,0.838709677419355
"396","patch","1115432",0.0014,18,1.28571428571429
"397","patch","1115432",0.0012,18,1.5
"398","patch","1115432",7e-04,14,2
"399","patch","1115432",0.0067,40,0.597014925373134
"400","patch","1115432",0.0045,36,0.8
"401","patch","1115432",0.0046,40,0.869565217391304
"402","patch","1115432",0.0034,32,0.941176470588235
"403","patch","1115432",0.003,26,0.866666666666667
"404","patch","1115432",0.0019,24,1.26315789473684
"405","patch","1115432",5e-04,12,2.4
"406","patch","1115432",0.0021,24,1.14285714285714
"407","patch","1115432",0.0373,174,0.466487935656836
"408","patch","1115432",0.0021,22,1.04761904761905
"409","patch","1115432",0.0029,26,0.896551724137931
"410","patch","1115432",8e-04,14,1.75
"411","patch","1115432",0.0012,18,1.5
"412","patch","1115432",0.001,16,1.6
"413","patch","1115432",0.0018,24,1.33333333333333
"414","patch","1115432",9e-04,16,1.77777777777778
"415","patch","1115432",0.0225,108,0.48
"416","patch","1412786",0.0016,28,1.75
"417","patch","1412786",1e-04,4,4
"418","patch","1412786",0.0093,74,0.795698924731183
"419","patch","1412786",0.0579,254,0.438687392055268
"420","patch","1412786",1e-04,4,4
"421","patch","1412786",2e-04,8,4
"422","patch","1412786",0.0068,52,0.764705882352941
"423","patch","1412786",1e-04,4,4
"424","patch","1412786",3e-04,8,2.66666666666667
"425","patch","1412786",0.0014,20,1.42857142857143
"426","patch","1412786",7e-04,14,2
"427","patch","1412786",0.001,16,1.6
