"","ID","siteEffStories","mean10mEffStories","sd10mEffStories","mean30mEffStories","sd30mEffStories"
"130","EA-PL-1020-HIGH",3.92,3.21,0.81,3.58,0.57
"131","EA-PL-1020-LOSH",3.92,3.21,0.81,3.58,0.57
"132","EA-PL-1020-SUGL",3.92,3.21,0.81,3.58,0.57
"133","EA-PL-2030-ARG1",3.92,3.21,0.81,3.58,0.57
"134","EA-PL-3040-WIL3",3.92,3.21,0.81,3.58,0.57
"135","EA-PL-6000-HAYL",3.92,3.21,0.81,3.58,0.57
"136","EA-PL-6000-WIL4",3.92,3.21,0.81,3.58,0.57
"137","FF_M1",3.92,3.21,0.81,3.58,0.57
"138","FF_M2",3.92,3.21,0.81,3.58,0.57
"139","FF_P1",3.92,3.21,0.81,3.58,0.57
"140","FL_M1",3.92,3.21,0.81,3.58,0.57
"141","FL_M2",3.92,3.21,0.81,3.58,0.57
"142","FL_M4",3.92,3.21,0.81,3.58,0.57
"143","FL_P1",3.92,3.21,0.81,3.58,0.57
"144","HF_M1",3.92,3.21,0.81,3.58,0.57
"145","HF_M2",3.92,3.21,0.81,3.58,0.57
"146","HF_M3",3.92,3.21,0.81,3.58,0.57
"147","HF_M4",3.92,3.21,0.81,3.58,0.57
"148","HF_P1",3.92,3.21,0.81,3.58,0.57
"149","LB_M1",3.92,3.21,0.81,3.58,0.57
"150","LB_M2",3.92,3.21,0.81,3.58,0.57
"151","LB_M3",3.92,3.21,0.81,3.58,0.57
"152","LB_M4",3.92,3.21,0.81,3.58,0.57
"153","LB_P1",3.92,3.21,0.81,3.58,0.57
"154","MG_M1",3.92,3.21,0.81,3.58,0.57
"155","MG_M2",3.92,3.21,0.81,3.58,0.57
"156","MG_M3",3.92,3.21,0.81,3.58,0.57
"157","MG_M4",3.92,3.21,0.81,3.58,0.57
"158","MG_P1",3.92,3.21,0.81,3.58,0.57
"159","SE-EW-1020-COMF",3.92,3.21,0.81,3.58,0.57
"160","SE-EW-1020-VICT",3.92,3.21,0.81,3.58,0.57
"161","SE-EWNC-1020-HAIN",3.92,3.21,0.81,3.58,0.57
"162","SE-EWNC-2030-OLDP",3.92,3.21,0.81,3.58,0.57
"163","SE-EWNC-3040-RAVE",3.92,3.21,0.81,3.58,0.57
"164","SE-EWNC-6000-BOWD",3.92,3.21,0.81,3.58,0.57
"165","SE-EWPL-1020-HAIN",3.92,3.21,0.81,3.58,0.57
"166","SE-EWPL-2030-OLDP",3.92,3.21,0.81,3.58,0.57
"167","SE-EWPL-3040-RAVE",3.92,3.21,0.81,3.58,0.57
"168","SE-EWPL-5060-BOWD",3.92,3.21,0.81,3.58,0.57
"169","SE-NC-1020-COMF",3.92,3.21,0.81,3.58,0.57
"170","SE-NC-1020-HAIN",3.92,3.21,0.81,3.58,0.57
"171","SE-NC-1020-VICT",3.92,3.21,0.81,3.58,0.57
"172","SE-NC-2030-OLDP",3.92,3.21,0.81,3.58,0.57
"173","SE-NC-3040-RAVE",3.92,3.21,0.81,3.58,0.57
"174","SE-NC-6000-BOWD",3.92,3.21,0.81,3.58,0.57
