"","scpt","cpmt","management_prescription","last_thinned","next_thin_date","selection_type","species","plyr","next_intervention_year","next_intervention_type","heightChange","gapArea_2017","gapArea_2024","meanFHD_2017","meanFHD_2024","stems_2017","stems_2024"
"341","F",4518,"Intermediate Thinning","2017<2024",2027,"Intermediate","Douglas fir",1991,-1,"Felling",0.3626942134905,0,49.0370712985605,1.18,1.500625,64,63
"342","F",4301,NA,"2017<2024",2025,"Line Intermediate","Norway spruce",1994,2101,"Felling",1.33431636623576,515.384918882119,842.629292744889,1.80031746031746,1.86888888888889,117,112
"343","E",4222,NA,"2017<2024",2030,"Intermediate","Beech",1970,-1,"Felling",1.48577911493094,1322.98511871021,1600.19155583159,1.35884444444444,1.46035555555556,126,102
"344","B",3417,NA,"2017<2024",2027,"Intermediate","Hybrid larch",1968,2041,"Felling",-0.704381168940748,885.659349644258,1143.85163103938,1.52756302521008,1.6796218487395,445,447
"345","G",3412,NA,"2017<2024",2027,"Intermediate","Douglas fir",1959,NA,NA,1.03296608915826,2455.83258828674,1727.28896027205,1.90433333333333,2.1585,58,66
"346","G",3412,NA,"2017<2024",2024,"Line Intermediate","Sweet chestnut",2012,NA,NA,1.03296608915826,2455.83258828674,1727.28896027205,1.90433333333333,2.1585,58,66
"347","F",4463,"develop crowns through thinning
Retain clusters to become future veterans with possible future U/Plant","2017<2024",2031,"Crown","Scots pine",1930,2024,"Felling",-0.872503685760545,632.475189132718,571.429346759993,1.93017857142857,1.85660714285714,45,40
"348","G",4417,NA,"2017<2024",2024,"Intermediate","Sweet chestnut",1975,2043,"Felling",3.7536856338173,1497.12711124696,516.388762916882,2.38166666666667,2.25555555555556,48,59
"349","A",4423,NA,"2017<2024",2025,"Intermediate","Douglas fir",1969,2053,"Felling",1.16127822149848,3133.35402028095,2812.11287480228,1.49745098039216,1.41652941176471,598,562
"350","A",3208,NA,"< 2016",2025,"Crown","Oak (robur/petraea)",1947,-1,"Felling",2.85675133756643,13530.1067275715,7565.65120712042,1.87504,1.68176,298,281
"351","C",4460,NA,"2017<2024",2024,"Intermediate","Birch (downy/silver)",1970,-1,"Felling",-5.77954710523189,96.0722198170552,11406.5746404027,1.45193181818182,2.27420454545455,201,141
"352","B",3227,NA,"2017<2024",2024,"Intermediate","Douglas fir",1967,2025,NA,3.74043775476141,1244.92748489793,903.673237126983,1.5808547008547,1.52247863247863,396,410
